COMMONNAME,Minimum age at encounter,Banding date,Banding region,Age at banding,Sex,Encounter date,Encounter region,How bird and band were obtained,Condition of bird/band at encounter
Black-bellied Whistling-Duck,10 years 07 months,2/15/2005,Louisiana,After Hatching Year,Male,1/10/2015,Louisiana,Shot.,Dead/Removed
Black-bellied Whistling-Duck,8 years 02 months,7/2/1965,Texas,After Hatching Year,Unknown,8/25/1972,Texas,Caught or observed at or in nest.,Alive - Released/Unknown
Fulvous Whistling-Duck,11 years 02 months,8/18/1993,Florida,Local,Male,8/8/2004,Cuba,Shot.,Dead/Removed
Fulvous Whistling-Duck,6 years 06 months,8/28/1971,Louisiana,Local,Male,12/99/1977,Louisiana,Shot.,Dead/Unknown
Greater White-fronted Goose,25 years 06 months,7/28/1975,Nunavut,After Second Year,Unknown,12/26/1998,Louisiana,Shot.,Dead/Unknown
Greater White-fronted Goose,22 years 04 months,9/28/1962,Saskatchewan,Hatching Year,Male,10/1/1984,Alberta,Shot.,Dead/Removed
Greater White-fronted Goose,19 years 06 months,4/9/1954,California,Unknown,Female,10/14/1973,Washington,Shot.,Dead/Removed
Greater White-fronted Goose,18 years 07 months,7/16/1960,Northwest Territories,Second Year,Female,01/41/1978,Louisiana,Shot.,Dead/Removed
Greater White-fronted Goose,17 years 06 months,10/8/1952,California,After Hatching Year,Male,12/23/1968,Mexico,Shot.,Dead/Unknown
Greater White-fronted Goose,17 years 03 months,10/2/1960,North Dakota,Hatching Year,Male,94/99/1977,Louisiana,Shot.,Dead/Removed
Emperor Goose,20 years 03 months,7/29/1994,Alaska,After Hatching Year,Female,9/15/2013,Alaska,Found dead.,Dead/Removed
Emperor Goose,14 years 02 months,8/7/1999,Alaska,After Hatching Year,Female,8/14/2012,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Emperor Goose,12 years 00 months,6/22/1993,Alaska,After Hatching Year,Female,06/99/2004,Alaska,Found dead.,Dead/Removed
Emperor Goose,10 years 02 months,7/29/1980,Alaska,After Second Year,Female,8/1/1988,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Emperor Goose,9 years 04 months,8/5/1981,Alaska,After Hatching Year,Male,10/6/1989,Alaska,Found dead.,Dead/Removed
Emperor Goose,9 years 02 months,7/29/1980,Alaska,After Hatching Year,Male,8/1/1988,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Lesser Snow Goose,27 years 06 months,1/4/1974,Texas,After Second Year,Unknown,12/99/1999,Texas,Shot.,Dead/Removed
Lesser Snow Goose,26 years 07 months,8/1/1952,Nunavut,After Hatching Year,Unknown,1/1/1978,Texas,Shot.,Dead/Removed
Blue Goose,22 years 07 months,7/28/1961,Nunavut,After Hatching Year,Unknown,1/23/1983,Texas,Shot.,Dead/Removed
Blue Goose,19 years 06 months,11/18/1934,Louisiana,Unknown,Unknown,12/10/1953,Arkansas,Shot.,Dead/Unknown
Ross's Goose,22 years 06 months,10/5/1972,Saskatchewan,After Hatching Year,Female,12/4/1993,California,Shot.,Dead/Unknown
Ross's Goose,21 years 06 months,10/18/1962,Saskatchewan,After Hatching Year,Male,12/99/1982,California,Shot.,Dead/Unknown
Ross's Goose,19 years 07 months,8/2/1962,Nunavut,After Hatching Year,Unknown,1/10/1981,California,Found dead.,Dead/Removed
Ross's Goose,19 years 07 months,3/26/1957,California,After Hatching Year,Male,1/17/1976,California,Shot.,Dead/Removed
Ross's Goose,17 years 05 months,9/25/1962,Saskatchewan,After Hatching Year,Male,11/3/1978,Saskatchewan,Shot.,Dead/Removed
Ross's Goose,17 years 04 months,10/4/1961,Saskatchewan,After Hatching Year,Male,10/12/1977,Saskatchewan,Shot.,Dead/Removed
Atlantic Brant,16 years 07 months,8/7/1956,Nunavut,After Hatching Year,Unknown,1/8/1972,New York,Shot.,Dead/Left On Bird
Black Brant,30 years 03 months,7/27/1986,Alaska,Local,Female,9/6/2016,Alaska,Shot.,Dead/Removed
Black Brant,28 years 09 months,7/24/1987,Alaska,Local,Female,3/25/2016,British Columbia,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Black Brant,27 years 06 months,7/11/1963,Alaska,After Hatching Year,Female,12/23/1989,Washington,Shot.,Dead/Removed
Black Brant,25 years 09 months,7/13/1963,Alaska,Second Year,Male,3/2/1988,British Columbia,Shot.,Dead/Left On Bird
Black Brant,25 years 05 months,7/13/1963,Alaska,After Hatching Year,Male,11/18/1987,California,Shot.,Dead/Removed
Black Brant,24 years 08 months,7/11/1963,Alaska,Second Year,Male,02/99/1987,Mexico,Shot.,Dead/Unknown
Black Brant,20 years 08 months,7/13/1963,Alaska,After Hatching Year,Female,02/99/1983,Mexico,Shot.,Dead/Removed
Black Brant,18 years 07 months,7/13/1963,Alaska,After Hatching Year,Female,1/28/1981,Mexico,Shot.,Dead/Removed
Black Brant,18 years 06 months,7/11/1963,Alaska,After Hatching Year,Male,12/28/1980,Mexico,Shot.,Dead/Removed
Black Brant,17 years 08 months,7/10/1963,Alaska,After Hatching Year,Male,2/20/1980,California,Shot.,Dead/Removed
Black Brant,16 years 08 months,7/28/1962,Alaska,After Hatching Year,Female,2/5/1978,Mexico,Shot.,Dead/Removed
Cackling Goose,22 years 08 months,8/5/1987,Alaska,Local,Male,2/24/2010,Oregon,Shot.,Dead/Removed
Cackling Goose,18 years 04 months,10/25/1959,California,Hatching Year,Unknown,10/16/1977,Alaska,Shot.,Dead/Removed
Canada Goose,33 years 03 months,10/31/1969,Ohio,After Hatching Year,Female,94/99/2001,Ontario,Shot.,Dead/Removed
Canada Goose,28 years 05 months,1/28/1969,Illinois,Second Year,Unknown,11/16/1996,Wisconsin,Found dead.,Dead/Removed
Canada Goose,25 years 07 months,10/17/1966,Missouri,After Hatching Year,Male,1/8/1991,Illinois,Shot.,Dead/Unknown
Canada Goose,25 years 03 months,2/23/1974,Illinois,After Second Year,Unknown,9/10/1997,Michigan,Shot.,Dead/Removed
Canada Goose,24 years 04 months,1/21/1963,Maryland,After Hatching Year,Male,10/4/1986,Québec,Shot.,Dead/Unknown
Canada Goose,23 years 07 months,1/29/1968,North Carolina,After Third Year,Male,1/2/1989,Virginia,Shot.,Dead/Removed
Canada Goose,23 years 06 months,1/9/1944,Illinois,After Hatching Year,Female,12/8/1966,Illinois,Shot.,Dead/Unknown
Canada Goose,23 years 04 months,11/9/1949,Missouri,After Hatching Year,Male,10/11/1971,Manitoba,Shot.,Dead/Removed
Canada Goose,23 years 03 months,10/20/1959,Missouri,After Hatching Year,Female,93/99/1981,Minnesota,Shot.,Dead/Removed
Canada Goose,22 years 06 months,1/15/1953,Illinois,After Hatching Year,Male,12/99/1974,Illinois,Shot.,Dead/Unknown
Canada Goose,22 years 04 months,12/12/1951,Illinois,After Hatching Year,Female,10/7/1972,Wisconsin,Shot.,Dead/Removed
Canada Goose,20 years 06 months,7/6/1950,Alaska,Hatching Year,Male,12/43/1970,Washington,Shot.,Dead/Removed
Canada Goose,20 years 04 months,1/3/1959,Illinois,Second Year,Unknown,10/3/1978,Wisconsin,Shot.,Dead/Removed
Canada Goose,18 years 04 months,11/26/1960,Missouri,Hatching Year,Male,10/2/1978,Manitoba,Shot.,Dead/Removed
Canada Goose,16 years 07 months,10/13/1961,Wisconsin,Hatching Year,Male,1/30/1978,Illinois,Found dead.,Dead/Removed
Canada Goose,16 years 04 months,10/9/1962,Wisconsin,Hatching Year,Female,10/1/1978,Wisconsin,Shot.,Dead/Removed
Hawaiian Goose,20 years 07 months,2/10/1993,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Second Year,Male,1/25/2012,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Hawaiian Goose,20 years 05 months,10/2/1991,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Second Year,Male,11/27/2009,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by or due to: traps or snares OTHER THAN devices used to catch birds for banding.,Dead/Left On Bird
Hawaiian Goose,19 years 01 months,4/16/1977,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Male,5/2/1996,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Captured for Scientific Purposes (not collected). Status changed.,Alive - Released/Removed
Hawaiian Goose,17 years 09 months,7/4/1977,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Male,3/7/1995,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Mute Swan,26 years 09 months,7/16/1962,Rhode Island,Second Year,Male,3/10/1988,Rhode Island,Found dead.,Dead/Left On Bird
Mute Swan,13 years 04 months,8/20/1963,Rhode Island,Local,Female,10/22/1976,Connecticut,Caught by or due to: miscellaneous birds,Dead/Removed
Mute Swan,13 years 03 months,7/15/1971,Maryland,After Second Year,Male,9/25/1982,Maryland,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Mute Swan,11 years 10 months,9/9/1963,Rhode Island,After Hatching Year,Female,4/3/1974,Rhode Island,Shot.,Dead/Removed
Trumpeter Swan,26 years 02 months,5/8/1991,Wisconsin,Third Year,Female,8/5/2015,Wisconsin,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Trumpeter Swan,25 years 07 months,5/8/1991,Wisconsin,Third Year,Female,1/16/2015,Wisconsin,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Trumpeter Swan,23 years 10 months,7/22/1957,Montana,Second Year,Male,4/25/1980,Idaho,Found dead.,Dead/Removed
Trumpeter Swan,18 years 02 months,7/22/1957,Montana,Second Year,Female,8/8/1974,Montana,Found dead.,Dead/Removed
Whistling Swan,25 years 04 months,3/18/1975,Ohio,After Second Year,Female,10/25/1998,Ohio,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Whistling Swan,23 years 07 months,7/13/1972,Northwest Territories,After Third Year,Female,1/23/1993,North Carolina,Shot.,Dead/Unknown
Whistling Swan,14 years 02 months,8/18/1961,Northwest Territories,Unknown,Male,8/15/1975,Northwest Territories,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Wood Duck,22 years 06 months,9/8/1962,Oregon,Hatching Year,Male,12/28/1984,California,Shot.,Dead/Removed
Wood Duck,17 years 07 months,11/10/1959,Tennessee,After Hatching Year,Male,1/1/1976,Mississippi,Shot.,Dead/Unknown
Wood Duck,13 years 07 months,7/29/1965,Iowa,Hatching Year,Female,1/5/1979,Louisiana,Shot.,Dead/Removed
Wood Duck,13 years 05 months,5/27/1963,Massachusetts,After Hatching Year,Female,11/11/1975,South Carolina,Found dead.,Dead/Removed
