SPEC,COMMONNAME,SCINAME,SPEC6,Order,Family,Subfamily
ABTO,Abert's Towhee,Melozone aberti,MELABE,Passeriformes,Emberizidae,
ACFL,Acadian Flycatcher,Empidonax virescens,EMPVIR,Passeriformes,Tyrannidae,Fluvicolinae
ACWO,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,Piciformes,Picidae,Picinae
ADWA,Adelaide's Warbler,Setophaga adelaidae,SETADE,Passeriformes,Parulidae,
AFCD,African Collared-Dove,Streptopelia roseogrisea,STRROS,Columbiformes,Columbidae,
AFSI,African Silverbill,Lonchura cantans,LONCAN,Passeriformes,Estrildidae,
AGHE,Agami Heron,Agamia agami,AGAAGA,Pelecaniformes,Ardeidae,
AKEK,Akekee,Loxops caeruleirostris,LOXCAE,Passeriformes,Fringillidae,Drepanidinae
AKEP,Akepa,Loxops coccineus,LOXCOC,Passeriformes,Fringillidae,Drepanidinae
AKIA,Akiapolaau,Hemignathus munroi,HEMMUN,Passeriformes,Fringillidae,Drepanidinae
AKIK,Akikiki,Oreomystis bairdi,OREBAI,Passeriformes,Fringillidae,Drepanidinae
AKOH,Akohekohe,Palmeria dolei,PALDOL,Passeriformes,Fringillidae,Drepanidinae
ALFL,Alder Flycatcher,Empidonax alnorum,EMPALN,Passeriformes,Tyrannidae,Fluvicolinae
ACGO,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE,Anseriformes,Anatidae,Anserinae
ALTE,Aleutian Tern,Onychoprion aleuticus,ONYALE,Charadriiformes,Laridae,Sterninae
ALHU,Allen's Hummingbird,Selasphorus sasin,SELSAS,Apodiformes,Trochilidae,Trochilinae
ALSW,Alpine Swift,Apus melba,APUMEL,Apodiformes,Apodidae,Apodinae
ALOR,Altamira Oriole,Icterus gularis,ICTGUL,Passeriformes,Icteridae,
ALYE,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,Passeriformes,Parulidae,
AMAU,Amaui,Myadestes woahensis,MYAWOA,Passeriformes,Turdidae,
AMKI,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,Coraciiformes,Alcedinidae,Cerylinae
AMAV,American Avocet,Recurvirostra americana,RECAME,Charadriiformes,Recurvirostridae,
AMBI,American Bittern,Botaurus lentiginosus,BOTLEN,Pelecaniformes,Ardeidae,
ABDU,American Black Duck,Anas rubripes,ANARUB,Anseriformes,Anatidae,Anatinae
ABDH,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,Anseriformes,Anatidae,Anatinae
AMCO,American Coot,Fulica americana,FULAME,Gruiformes,Rallidae,
AMCR,American Crow,Corvus brachyrhynchos,CORBRA,Passeriformes,Corvidae,
AMDI,American Dipper,Cinclus mexicanus,CINMEX,Passeriformes,Cinclidae,
AMFL,American Flamingo,Phoenicopterus ruber,PHORUB,Phoenicopteriformes,Phoenicopteridae,
AMGP,American Golden-Plover,Pluvialis dominica,PLUDOM,Charadriiformes,Charadriidae,Charadriinae
AMGO,American Goldfinch,Spinus tristis,SPITRI,Passeriformes,Fringillidae,Carduelinae
AGWT,American Green-winged Teal,Anas c. carolinensis,ANACCA,Anseriformes,Anatidae,Anatinae
AMKE,American Kestrel,Falco sparverius,FALSPA,Falconiformes,Falconidae,Falconinae
AMOY,American Oystercatcher,Haematopus palliatus,HAEPAL,Charadriiformes,Haematopodidae,
AMPI,American Pipit,Anthus rubescens,ANTRUB,Passeriformes,Motacillidae,
APKI,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,Coraciiformes,Alcedinidae,Cerylinae
AMRE,American Redstart,Setophaga ruticilla,SETRUT,Passeriformes,Parulidae,
AMRO,American Robin,Turdus migratorius,TURMIG,Passeriformes,Turdidae,
ATTW,American Three-toed Woodpecker,Picoides dorsalis,PICDOR,Piciformes,Picidae,Picinae
ATSP,American Tree Sparrow,Spizella arborea,SPIARB,Passeriformes,Emberizidae,
AWPE,American White Pelican,Pelecanus erythrorhynchos,PELERY,Pelecaniformes,Pelecanidae,
AMWI,American Wigeon,Anas americana,ANAAME,Anseriformes,Anatidae,Anatinae
AMWO,American Woodcock,Scolopax minor,SCOMIN,Charadriiformes,Scolopacidae,Scolopacinae
ATHU,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,Apodiformes,Trochilidae,Trochilinae
