COMMONNAME,SCINAME,Order,Family
Audubon's Crested Caracara,Caracara cheriway,Falconiformes,Falconidae
Audubon's Crested Caracara,Caracara cheriway,Falconiformes,Falconidae
Audubon's Crested Caracara,Caracara cheriway,Falconiformes,Falconidae
Blue Goose,Chen caerulescens ,Anseriformes,Anatidae
Blue Goose,Chen caerulescens ,Anseriformes,Anatidae
Brown Skua,Stercorarius antarcticus,Charadriiformes,Stercorariidae
California Spotted Owl,Strix occidentalis,Strigiformes,Strigidae
California Spotted Owl,Strix occidentalis,Strigiformes,Strigidae
Collared Kingfisher,Todiramphus chloris,Coraciiformes,Alcedinidae
Gray-headed Albatross,Thalassarche chrysostoma,Procellariiformes,Diomedeidae
Gray-headed Albatross,Thalassarche chrysostoma,Procellariiformes,Diomedeidae
Lesser Snow Goose,Chen caerulescens ,Anseriformes,Anatidae
Lesser Snow Goose,Chen caerulescens ,Anseriformes,Anatidae
Micronesian Megapode,Megapodius laperouse,Galliformes,Megapodiidae
Northern Spotted Owl,Strix occidentalis caurina,Strigiformes,Strigidae
Northern Spotted Owl,Strix occidentalis caurina,Strigiformes,Strigidae
Northern Spotted Owl,Strix occidentalis caurina,Strigiformes,Strigidae
Northern Spotted Owl,Strix occidentalis caurina,Strigiformes,Strigidae
Phoenix Petrel,Pterodroma alba,Procellariiformes,Procellariidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
Rufa Red Knot,Calidris canutus,Charadriiformes,Scolopacidae
San Clemente Bell's Sparrow,Artemisiospiza belli,Passeriformes,Emberizidae
San Clemente Loggerhead Shrike,Lanius ludovicianus mearnsi,Passeriformes,Laniidae
Southern Black-backed Gull,Larus dominicanus,Charadriiformes,Laridae
Southern Giant Petrel,Macronectes giganteus,Procellariiformes,Procellariidae
Southern Giant Petrel,Macronectes giganteus,Procellariiformes,Procellariidae
Waved Albatross,Phoebastria irrorata,Procellariiformes,Diomedeidae
Waved Albatross,Phoebastria irrorata,Procellariiformes,Diomedeidae
Waved Albatross,Phoebastria irrorata,Procellariiformes,Diomedeidae
Western Snowy Plover,Charadrius nivosus,Charadriiformes,Charadriidae
Western Snowy Plover,Charadrius nivosus,Charadriiformes,Charadriidae
Western Snowy Plover,Charadrius nivosus,Charadriiformes,Charadriidae
